,loss,accuracy,val_loss,val_accuracy
0,0.611717939376831,0.6743749976158142,0.5830578804016113,0.7097916603088379
1,0.5635755062103271,0.7233928442001343,0.548967719078064,0.7297916412353516
2,0.5352095365524292,0.7410714030265808,0.5233811736106873,0.7491666674613953
3,0.5339468121528625,0.7420535683631897,0.5282954573631287,0.7477083206176758
4,0.524158239364624,0.7520535588264465,0.524671196937561,0.7495833039283752
5,0.511279821395874,0.7554464340209961,0.5374675989151001,0.7545833587646484
6,0.5019692778587341,0.7578571438789368,0.5302029848098755,0.7520833611488342
7,0.48517918586730957,0.7693750262260437,0.5210790634155273,0.7552083134651184
8,0.4773562550544739,0.7756249904632568,0.5078413486480713,0.7541666626930237
9,0.4597931206226349,0.7822321653366089,0.5413000583648682,0.7543749809265137
