,LogReg,LinearSVC,DecisionTree,RandomForest,SVM,KNN,AdaBoost,Naive Bayes
accuracy,0.7654166666666666,0.75625,0.661875,0.7779166666666667,0.7739583333333333,0.5927083333333333,0.7266666666666667,0.7697916666666667
precision,0.7596439169139466,0.7484223811527135,0.6515403830141548,0.7824175824175824,0.7709760273972602,0.5549389567147613,0.7265590928914086,0.7611064543168483
recall,0.7622288387920034,0.7566992769034453,0.6656741811994896,0.7571246278179498,0.7660569970225436,0.8507018290089323,0.7086346235644406,0.7724372607401105
f1,0.7653341669597385,0.7561951439073791,0.6618425785701414,0.7776244512971994,0.7738329892986264,0.567676642030593,0.7263776530627142,0.7697520028515329
